 schemaname |                     tablename                     |                            indexname                            | tablespace |                                                                                 indexdef                                                                                  
 public     | registration_registrationprofile                  | registration_registrationprofile_pkey                           |            | CREATE UNIQUE INDEX registration_registrationprofile_pkey ON registration_registrationprofile USING btree (id)
 public     | registration_registrationprofile                  | registration_registrationprofile_user_id_key                    |            | CREATE UNIQUE INDEX registration_registrationprofile_user_id_key ON registration_registrationprofile USING btree (user_id)
 public     | cms_placeholder                                   | cms_placeholder_pkey                                            |            | CREATE UNIQUE INDEX cms_placeholder_pkey ON cms_placeholder USING btree (id)
 public     | loginurl_key                                      | loginurl_key_pkey                                               |            | CREATE UNIQUE INDEX loginurl_key_pkey ON loginurl_key USING btree (id)
 public     | loginurl_key                                      | loginurl_key_key_key                                            |            | CREATE UNIQUE INDEX loginurl_key_key_key ON loginurl_key USING btree (key)
 public     | cms_placeholder                                   | cms_placeholder_slot                                            |            | CREATE INDEX cms_placeholder_slot ON cms_placeholder USING btree (slot)
 public     | contact_form_feedback                             | contact_form_feedback_pkey                                      |            | CREATE UNIQUE INDEX contact_form_feedback_pkey ON contact_form_feedback USING btree (id)
 public     | cms_placeholder                                   | cms_placeholder_slot_like                                       |            | CREATE INDEX cms_placeholder_slot_like ON cms_placeholder USING btree (slot varchar_pattern_ops)
 public     | pollster_results_weekly_v1_2011110816331320766420 | pollster_results_weekly_pkey                                    |            | CREATE UNIQUE INDEX pollster_results_weekly_pkey ON pollster_results_weekly_v1_2011110816331320766420 USING btree (id)
 public     | cms_cmsplugin                                     | cms_cmsplugin_new_placeholder_id                                |            | CREATE INDEX cms_cmsplugin_new_placeholder_id ON cms_cmsplugin USING btree (placeholder_id)
 public     | auth_permission                                   | auth_permission_content_type_id                                 |            | CREATE INDEX auth_permission_content_type_id ON auth_permission USING btree (content_type_id)
 public     | auth_group_permissions                            | auth_group_permissions_group_id                                 |            | CREATE INDEX auth_group_permissions_group_id ON auth_group_permissions USING btree (group_id)
 public     | auth_group_permissions                            | auth_group_permissions_permission_id                            |            | CREATE INDEX auth_group_permissions_permission_id ON auth_group_permissions USING btree (permission_id)
 public     | auth_user_user_permissions                        | auth_user_user_permissions_user_id                              |            | CREATE INDEX auth_user_user_permissions_user_id ON auth_user_user_permissions USING btree (user_id)
 public     | auth_user_user_permissions                        | auth_user_user_permissions_permission_id                        |            | CREATE INDEX auth_user_user_permissions_permission_id ON auth_user_user_permissions USING btree (permission_id)
 public     | auth_user_groups                                  | auth_user_groups_user_id                                        |            | CREATE INDEX auth_user_groups_user_id ON auth_user_groups USING btree (user_id)
 public     | auth_user_groups                                  | auth_user_groups_group_id                                       |            | CREATE INDEX auth_user_groups_group_id ON auth_user_groups USING btree (group_id)
 public     | auth_message                                      | auth_message_user_id                                            |            | CREATE INDEX auth_message_user_id ON auth_message USING btree (user_id)
 public     | django_session                                    | django_session_expire_date                                      |            | CREATE INDEX django_session_expire_date ON django_session USING btree (expire_date)
 public     | django_admin_log                                  | django_admin_log_user_id                                        |            | CREATE INDEX django_admin_log_user_id ON django_admin_log USING btree (user_id)
 public     | django_admin_log                                  | django_admin_log_content_type_id                                |            | CREATE INDEX django_admin_log_content_type_id ON django_admin_log USING btree (content_type_id)
 public     | loginurl_key                                      | loginurl_key_user_id                                            |            | CREATE INDEX loginurl_key_user_id ON loginurl_key USING btree (user_id)
 public     | contact_form_feedback                             | contact_form_feedback_user_id                                   |            | CREATE INDEX contact_form_feedback_user_id ON contact_form_feedback USING btree (user_id)
 public     | cms_title                                         | cms_title_page_id_45628dc0e8a26dd5_uniq                         |            | CREATE UNIQUE INDEX cms_title_page_id_45628dc0e8a26dd5_uniq ON cms_title USING btree (page_id, language)
 public     | cms_page                                          | cms_page_pkey                                                   |            | CREATE UNIQUE INDEX cms_page_pkey ON cms_page USING btree (id)
